epizoda,reziser
2916312,Jeffrey Reiner
2916314,Keith Gordon
2916316,Daniel Minahan
2916318,Lesli Linka Glatter
2920128,Joe Carnahan
2931446,Guy Ferland
2933998,Mark Cendrowski
2936284,Christopher Miller
2936284,Phil Lord
2948628,Tricia Brock
2948630,Michael Uppendahl
2948632,Daniel Sackheim
2948634,Jeremy Podeswa
2948636,David Boyd
2948638,Ernest R. Dickerson
2972426,Alex Graves
2972428,Michelle MacLaren
2986512,Jamie Payne
2990016,James Foley
2991722,J.A. Bayona
2991728,J.A. Bayona
2991730,Dearbhla Walsh
2991746,Dearbhla Walsh
2991752,Coky Giedroyc
2991762,James Hawes
2991764,James Hawes
3000124,Tim Hunter
3001906,James Foley
3001926,John David Coles
3015084,Jodie Foster
3025548,Guy Norman Bee
3040972,Pamela Fryman
3040980,Pamela Fryman
3060782,Alex Graves
3060856,Michelle MacLaren
3060858,Neil Marshall
3060860,Alex Graves
3060876,Alik Sakharov
3060910,Alik Sakharov
3063130,M. Night Shyamalan
3065100,Dominic Bianchi
3065100,James Purdum
3065100,Peter Shin
3068760,Brad Falchuk
3077106,Nick Copus
3097142,Kevin Hooks
3097534,Adam Bernstein
3098422,Robert Singer
3111660,Mark Cendrowski
3112656,Rob Spera
3112660,Tim Andrew
3113690,Pamela Fryman
3126166,Glen Winter
3126168,Eagle Egilsson
3128398,Wendey Stanzler
3130186,Milan Cheylov
3130816,David Straiton
3141550,Kevin Parks
3143980,Dean White
3143986,Dean White
3146366,Omar Madha
3146370,Kenneth Fink
3146372,Helen Shaver
3147682,James Foley
3147690,James Foley
3158272,John MacCarthy
3158274,Thomas J. Wright
3158276,Robert Singer
3158278,John Badham
3173404,Jace Alexander
3173406,Michael W. Watkins
3173408,Vincent Misiano
3175800,Michael Rymer
3175804,Alfonso Gomez-Rejon
3182874,Jeannot Szwarc
3182878,Misha Collins
3182886,Thomas J. Wright
3182890,P.J. Pesce
3182892,Robert Singer
3182894,Thomas J. Wright
3182896,Guy Norman Bee
3186026,Jodie Foster
3187092,David Nutter
3196216,Chris Long
3203968,Peter Berg
3204812,P.J. Pesce
3210020,Stephen Surjik
3212666,Pamela Fryman
3213080,Michael Uppendahl
3213082,Jeremy Podeswa
3213782,Guy Norman Bee
3213864,Bethany Rooney
3216414,Danny Cannon
3218318,Roxann Dawson
3218670,Mark Cendrowski
3221190,Carl Franklin
3221232,John David Coles
3221270,Robin Wright
3221722,Mark Cendrowski
3221734,Steven Zaillian
3223256,Michael Uppendahl
3223258,Bradley Buecker
3223260,Howard Deutch
3223262,Alfonso Gomez-Rejon
3223264,Alfonso Gomez-Rejon
3223266,Bradley Buecker
3223270,Alfonso Gomez-Rejon
3223272,Alfonso Gomez-Rejon
3227888,Sylvain White
3229394,Mark Cendrowski
3229400,Jesse Bochco
3229404,Vincent Misiano
3229406,Bobby Roth
3229412,Michael Schultz
3229414,John Behring
3229416,Rob Hardy
3230882,Tim Hunter
3230884,Peter Medak
3230886,David Semel
3230890,Michael Rymer
3230894,Vincenzo Natali
3230896,Tim Hunter
3230898,Michael Rymer
3230900,Michael Rymer
3230904,Vincenzo Natali
3230906,David Slade
3230908,David Slade
3230910,Michael Rymer
3231760,Milan Cheylov
3237520,Trey Parker
3240510,Kurt Sutter
3244568,John Dahl
3247720,Pamela Fryman
3252298,Jonathan Frakes
3252318,Holly Dale
3252332,Billy Gierhart
3259044,Julius Ramsay
3260594,Tricia Brock
3260610,Greg Nicotero
3260612,Michelle MacLaren
3262434,Constantine Makris
3263824,Guy Norman Bee
3263826,Glen Winter
3263832,Wendey Stanzler
3268352,Pamela Fryman
3268354,Pamela Fryman
3268356,Pamela Fryman
3276450,Joe Carnahan
3276452,Michael W. Watkins
3278574,Joe Russo
3281866,Wayne Rose
3284012,Lesli Linka Glatter
3291628,Frederick E.O. Toye
3296848,Adam Bernstein
3297502,John David Coles
3297776,Greg Nicotero
3304810,Dominic Bianchi
3304810,James Purdum
3304810,Joseph Lee
3307564,Kevin Hooks
3307566,Paul A. Edwards
3307568,Kenneth Fink
3309570,Mark Cendrowski
3316794,Seith Mann
3316796,Ernest R. Dickerson
3316798,Greg Nicotero
3316800,Michael E. Satrazemis
3317356,Pamela Fryman
3317604,Ryan Murphy
3326204,James Foley
3326208,James Foley
3329334,Matthew Hastings
3330796,Phil Abraham
3331420,Richard J. Lewis
3331424,Richard J. Lewis
3331436,Pamela Fryman
3331452,Chris Fisher
3332546,John Hayes
3333824,John Rice
3333824,Pete Michels
3333828,John Rice
3333828,Pete Michels
3333830,Jeff Myers
3333830,Pete Michels
3333832,Bryan Newton
3333832,Pete Michels
3333834,Pete Michels
3333834,Stephen Sandoval
3333836,Jeff Myers
3333836,Pete Michels
3333838,Bryan Newton
3333838,Pete Michels
3333840,John Rice
3333840,Pete Michels
3333846,Pete Michels
3333846,Stephen Sandoval
3333854,Pete Michels
3333854,Stephen Sandoval
3337656,Nick Copus
3337658,Glen Winter
3337660,Larry Teng
3337662,John Behring
3337666,Jesse Warn
3337668,Douglas Aarniokoski
3337670,Michael Schultz
3337672,Nick Copus
3337674,John Behring
3337724,Mark Cendrowski
3353092,Pamela Fryman
3358048,Ciaran Donnelly
3358052,Ken Girotti
3358054,Jeff Woolnough
3358056,Ken Girotti
3358060,Jeff Woolnough
3359400,Pamela Fryman
3361356,Matt Barber
3364202,Stephen Williams
3364956,John F. Showalter
3380658,Guillermo del Toro
3382270,Pamela Fryman
3390212,Kari Skogland
3390214,Ken Girotti
3390216,Kari Skogland
3390240,Ken Girotti
3390680,Pamela Fryman
3390684,Pamela Fryman
3395540,Omar Madha
3403820,Mairzee Almas
3414460,John Behring
3415286,Pamela Fryman
3415288,Pamela Fryman
3415292,Pamela Fryman
3415296,Pamela Fryman
3415298,Pamela Fryman
3415300,Pamela Fryman
3415302,Pamela Fryman
3415304,Pamela Fryman
3453320,Mark Cendrowski
3460414,Dean White
3464768,Vince Gilligan
3468290,Scott Winant
3469416,Ben Wheatley
3473818,John Terlesky
3476430,Bobby Roth
3476578,Richard Clark
3476584,Richard Clark
3477310,Mark Cendrowski
3493984,James Foley
3505184,Keith Gordon
3505188,Lesli Linka Glatter
3508788,Gail Mancuso
3513862,John David Coles
3514096,Colin Bucksey
3519062,Randall Einhorn
3520032,Jeffrey Lee Gibson
3521964,Anthony Rich
3532626,Glen Winter
3532628,Robert Singer
3535114,Guy Norman Bee
3538760,Rachel Talalay
3539224,Bobby Roth
3539406,Vincent Misiano
3546818,Dean White
3547404,Stephen Surjik
3551076,Colin Bucksey
3557358,Mike Judge
3570280,Mark Mylod
3571562,John Dahl
3571564,Brian Kelly
3578722,Randall Einhorn
3578728,Scott Winant
3591824,José Padilha
3594942,Carl Franklin
3594942,Lesli Linka Glatter
3596112,Richard J. Lewis
3596130,Mark Cendrowski
3599898,Matt Shakman
3599918,Matt Shakman
3603056,Peter Berg
3603346,Mark Cendrowski
3603372,Mark Cendrowski
3609126,Milan Cheylov
3609154,Vincent Misiano
3609164,Billy Gierhart
3609168,Roxann Dawson
3609170,David Straiton
3609248,Brian Kelly
3615622,Richard J. Lewis
3615624,Frederick E.O. Toye
3615628,Chris Fisher
3615630,Chris Fisher
3623674,Ken Girotti
3627460,Anna Foerster
3627600,Anna Foerster
3630790,Mimi Leder
3631218,Keith Gordon
3635890,Ralph Hemecker
3639420,Michael Smith
3646000,David Boyd
3655782,Colm McCarthy
3658012,Michael Slovis
3658014,Jeremy Podeswa
3666322,Carl Franklin
3683570,Colm McCarthy
3683572,Colm McCarthy
3683574,Colm McCarthy
3683576,Colm McCarthy
3683578,Colm McCarthy
3684666,Ken Girotti
3685792,Jeff Woolnough
3685794,Jeff Woolnough
3685796,Helen Shaver
3685798,Helen Shaver
3685802,Kelly Makin
3685804,Kelly Makin
3685808,Ken Girotti
3685810,Ken Girotti
3687724,Howard Deutch
3687726,Alfonso Gomez-Rejon
3687728,Michael Uppendahl
3687730,Bradley Buecker
3687732,Anthony Hemingway
3687734,Michael Uppendahl
3687740,Loni Peristere
3687742,Howard Deutch
3687744,Bradley Buecker
3689244,Jeffrey F. January
3708414,Steve Boyum
3712494,Michael E. Satrazemis
3714112,Paul Murphy
3714480,Ernest R. Dickerson
3714484,Seith Mann
3714490,Billy Gierhart
3714498,Ernest R. Dickerson
3721000,Vincent Misiano
3721014,Dean White
3721722,Daniel Sackheim
3721724,Mimi Leder
3724578,Vincenzo Natali
3725022,Mimi Leder
3725024,Michelle MacLaren
3731190,Michael Offer
3736866,Guillermo Navarro
3736868,José Padilha
3736870,Guillermo Navarro
3736872,Andrés Baiz
3736874,Andrés Baiz
3736876,Fernando Coimbra
3736878,Fernando Coimbra
3736880,Andrés Baiz
3736882,Andrés Baiz
3737226,Ben Wheatley
3745430,Douglas Mackinnon
3748226,Michael Schur
3756834,Matthew Weiner
3762944,Stephen Merchant
3767938,Matt Shakman
3780308,Brian Kirk
3780794,Timothy Van Patten
3781960,Michael Goi
3781962,Loni Peristere
3781964,Bradley Buecker
3784126,Michael Schur
3784778,Beth McCarthy-Miller
3787384,Paul Wilmshurst
3787400,Paul Wilmshurst
3792838,Justin Lin
3807172,Mark Cendrowski
3807538,Phil Abraham
3807952,Neil Marshall
3809316,Mike Barker
3810440,Stephen Williams
3811812,Mark Cendrowski
3811816,Mark Cendrowski
3818888,Lana Wachowski
3818888,Lilly Wachowski
3818892,Lana Wachowski
3818892,Lilly Wachowski
3819518,David Nutter
3823242,Mark Cendrowski
3823244,Mark Cendrowski
3824148,Thomas Schnauz
3826166,Jesse Warn
3827662,Brian Kelly
3831300,Thomas J. Wright
3831310,Jensen Ackles
3833452,Lana Wachowski
3833452,Lilly Wachowski
3834038,Douglas Mackinnon
3834040,Sheree Folkson
3834042,Rachel Talalay
3834044,Rachel Talalay
3836974,Michael Uppendahl
3836974,Randall Einhorn
3842946,Magnus Martens
3845232,Douglas Mackinnon
3845888,Nick Hurran
3845892,Benjamin Caron
3845906,Jeannot Szwarc
3845910,Philip Sgriccia
3845938,Paul Murphy
3845940,Douglas Mackinnon
3846626,Michael Slovis
3852470,James McTeigue
3853912,Greg Nicotero
3853914,Julius Ramsay
3853916,Larysa Kondracki
3853920,Greg Nicotero
3853922,David Boyd
3853924,Jennifer Lynch
3853926,Michael E. Satrazemis
3853928,Greg Nicotero
3856758,Wendey Stanzler
3857028,Michelle MacLaren
3858672,Terry McDonough
3860118,John MacCarthy
3860122,Robert Singer
3862738,Mark Cendrowski
3863916,Brian Kelly
3863918,Anna Foerster
3864892,Colin Bucksey
3865220,Melchior Zwyer
3866650,Adam Bernstein
3866826,David Nutter
3866836,Mark Mylod
3866838,Mark Mylod
3866840,Jeremy Podeswa
3866842,Jeremy Podeswa
3866846,Miguel Sapochnik
3866850,Miguel Sapochnik
3866862,David Nutter
3874196,Anna Foerster
3876380,Nicole Kassell
3879020,Mike Barker
3879318,Stephen Surjik
3881958,Glen Winter
3884286,Larysa Kondracki
3885886,Kurt Sutter
3886622,Adam Arkin
3887830,Dermott Downs
3887882,Tom Tykwer
3887888,Lana Wachowski
3887888,Lilly Wachowski
3887950,Tom Tykwer
3887958,James McTeigue
3889026,Metin Hüseyin
3889032,Metin Hüseyin
3892086,John David Coles
3892088,Tucker Gates
3892094,Tucker Gates
3895284,Colin Bucksey
3895286,Thomas Schnauz
3895288,Peter Gould
3897378,Chris Fisher
3897442,James Foley
3897454,James Foley
3898640,Rob Schrab
3899320,Glen Winter
3903588,Paris Barclay
3903590,Paris Barclay
3908442,Peter Weller
3908490,John F. Showalter
3915096,Phil Abraham
3918768,John Dahl
3919146,John Behring
3920288,Millicent Shelton
3921048,Lesli Linka Glatter
3922506,Larry Shaw
3923868,Roger Kumble
3952170,Lesli Linka Glatter
3955000,Mimi Leder
3956512,Michael Schultz
3957774,Joel Moser
3959572,Metin Hüseyin
3959996,Steven Zaillian
3960094,Clark Johnson
3960198,Dean White
3963482,Lana Wachowski
3963482,Lilly Wachowski
3963484,Lana Wachowski
3963484,Lilly Wachowski
3963678,Dan Glass
3963682,Lana Wachowski
3963682,Lilly Wachowski
3967166,P.J. Pesce
3967172,Ed Fraiman
3970174,Holly Dale
3970230,Steven DePaul
3970232,Antonio Negret
3970236,John F. Showalter
3970238,Omar Madha
3972954,Philip John
3973198,Carl Tibbetts
3975220,T.J. Scott
3976236,Louis D'Esposito
3977324,Carl Franklin
3978932,Amy Winfrey
3982200,Terry McDonough
3982202,Terry McDonough
3983230,Jeff Woolnough
3984158,Daniel Attias
3984178,Matt Shakman
3984450,Vincenzo Natali
3984452,Vincenzo Natali
3984456,Marc Jobst
3986334,Dean White
3986336,P.J. Pesce
3986340,Mairzee Almas
3986342,Dean White
3986344,Omar Madha
3986348,Uta Briesewitz
3986350,Dean White
3990534,Alex Graves
3993356,Dermott Downs
3993362,Tim Hunter
3993368,T.J. Scott
3997450,Jesse Bochco
3997452,Kevin Tancharoen
3997456,Bobby Roth
3997488,Tim Andrew
3997492,Guy Norman Bee
4000782,Adam Kane
4001064,Noah Hawley
4001070,Michael Uppendahl
4001074,Michael Uppendahl
4001082,Jeffrey Reiner
4001084,Jeffrey Reiner
4001088,Keith Gordon
4001090,Adam Arkin
4001092,Keith Gordon
4006548,Thor Freudenthal
4006570,Nick Copus
4006572,Michael Schultz
4006574,Jesse Warn
4006576,Rob Hardy
4006578,Jesse Warn
4006582,Glen Winter
4006584,Antonio Negret
4006586,Peter Leto
4006588,Gregory Smith
4006590,Wendey Stanzler
4006594,Dermott Downs
4006596,Dwight H. Little
4006598,Thor Freudenthal
4006600,Dermott Downs
4006602,Douglas Aarniokoski
4006604,John Behring
4006606,Jesse Warn
4016102,Nick Copus
4017786,Ralph Hemecker
4017996,Danny Cannon
4023224,Seith Mann
4024758,Stephen Surjik
4033254,Rob Bailey
4035250,Robin Wright
4035340,Guillermo Navarro
4049582,Paul A. Edwards
4050552,Paul Wilmshurst
4057164,Janus Metz
4057166,Justin Lin
4057168,Jeremy Podeswa
4057170,John Crowley
4057172,Daniel Attias
4057174,John Crowley
4057176,Miguel Sapochnik
4057954,Vincenzo Natali
4057962,Adam Kane
4057974,Neil Marshall
4061068,Ken Girotti
4061074,Farren Blackburn
4062328,Kenneth Fink
4065456,Richard J. Lewis
4065594,Guy Ferland
4069154,Karen Gaviola
4069160,Sylvain White
4071596,Steven Zaillian
4077554,Jeremy Podeswa
4078580,Ron Underwood
4082652,Vincent Misiano
4082656,Milan Cheylov
4083028,John Dahl
4088556,Steven Zaillian
4089740,John Dahl
4089746,Guillermo Navarro
4089748,Michael Rymer
4089752,Guillermo Navarro
4089754,Michael Rymer
4092950,Richard J. Lewis
4092956,Michael Offer
4105618,Rob Hardy
4107894,Bill D'Elia
4108304,David Lynch
4108308,David Lynch
4108310,David Lynch
4108312,David Lynch
4108314,David Lynch
4108316,David Lynch
4108318,David Lynch
4108320,David Lynch
4108322,David Lynch
4110822,Billy Gierhart
4111294,John F. Showalter
4120502,Guy Ferland
4120506,Oz Scott
4120512,Eagle Egilsson
4120516,Wendey Stanzler
4120520,John Behring
4120524,Nick Copus
4120532,Jeffrey G. Hunt
4120538,Nathan Hope
4120542,Bill Eagles
4120544,Eagle Egilsson
4120550,T.J. Scott
4120554,Paul A. Edwards
4120698,Billy Gierhart
4120702,Michael Zinberg
4120704,Billy Gierhart
4120714,Roxann Dawson
4120718,Kevin Tancharoen
4120720,Jesse Bochco
4120722,David Solomon
4120726,Kevin Hooks
4120730,Garry A. Brown
4120734,Kevin Tancharoen
4120738,Karen Gaviola
4122454,Bobby Roth
4122456,Vincent Misiano
4125394,Joe Russo
4125398,Scott Winant
4125400,Stephen Cragg
4125402,Peter Leto
4125406,Vincent Misiano
4125408,Christopher Misiano
4125416,Brad Turner
4125418,Stephen Surjik
4125420,Nelson McCormick
4125422,Farren Blackburn
4125424,Euros Lyn
4125426,Nick Gomez
4125428,Steven S. DeKnight
4128194,Chris Fisher
4128566,Agnieszka Holland
4128572,Agnieszka Holland
4128574,Robin Wright
4131606,Daniel Sackheim
4136788,James Marsh
4138324,Glen Winter
4138326,Stephen Surjik
4138338,Thor Freudenthal
4138340,John Behring
4138344,Ralph Hemecker
4138350,Wendey Stanzler
4138352,Kevin Tancharoen
4138356,Steve Shill
4138376,Dermott Downs
4138378,Douglas Aarniokoski
4142526,Danny Cannon
4146568,Dermott Downs
4157140,Kevin Bray
4159446,Stephen Surjik
4162058,S.J. Clarkson
4162062,S.J. Clarkson
4162064,David Petrarca
4162066,David Petrarca
4162072,Stephen Surjik
4162076,Stephen Surjik
4162078,Simon Cellan Jones
4162080,Simon Cellan Jones
4162086,John Dahl
4162088,Rosemary Rodriguez
4162092,Uta Briesewitz
4162094,Billy Gierhart
4162096,Michael Rymer
4174026,John Dahl
4174028,John Dahl
4174030,Tom Shankland
4174066,Miguel Sapochnik
4174070,Uta Briesewitz
4174072,RZA
4174074,Farren Blackburn
4174078,Kevin Tancharoen
4174080,Jet Wilkinson
4174082,Peter Hoar
4174084,Deborah Chow
4174090,Andy Goddard
4174096,Stephen Surjik
4179626,Paul McGuigan
4179628,Paul McGuigan
4179634,Guillermo Navarro
4179636,Vincenzo Natali
4179642,Marc Jobst
4179686,Sam Miller
4179742,Andy Goddard
4179760,Magnus Martens
4179772,Tom Shankland
4179776,Stephen Surjik
4179784,George Tillman Jr.
4179798,Phil Abraham
4179804,Clark Johnson
4181338,Trey Parker
4190442,Lesli Linka Glatter
4194636,Steven Zaillian
4200136,Seth Gordon
4211958,Greg Nicotero
4217832,Ryan Murphy
4221826,James Foley
4227538,Jonathan Nolan
4270062,S.J. Clarkson
4270066,S.J. Clarkson
4270076,Peter Hoar
4270082,Phil Abraham
4270086,Uta Briesewitz
4270094,Stephen Surjik
4270098,Félix Enríquez Alcalá
4270102,Farren Blackburn
4277096,Ryan Murphy
4277098,Ryan Murphy
4277100,Anthony Hemingway
4277102,Anthony Hemingway
4277104,John Singleton
4277106,Ryan Murphy
4277116,Anthony Hemingway
4277118,Ryan Murphy
4277144,Tim Mielants
4283016,Daniel Sackheim
4283028,Jack Bender
4283054,Jack Bender
4283060,Mark Mylod
4283074,Mark Mylod
4283088,Miguel Sapochnik
4283094,Miguel Sapochnik
4289846,Hettie Macdonald
4292452,Philip Sgriccia
4323856,David Boyd
4344320,Serge Ladouceur
4345922,Thor Freudenthal
4346788,Robert Singer
4346790,Dean White
4346792,Ralph Hemecker
4359300,Todd Biermann
4369190,Danny Cannon
4370544,Tim Mielants
4370546,Tim Mielants
4370550,Tim Mielants
4370552,Tim Mielants
4371142,Rob Bailey
4371144,Eagle Egilsson
4371148,T.J. Scott
4371152,Bill Eagles
4371154,T.J. Scott
4371156,Kenneth Fink
4371158,Louis Shaw Milito
4371164,Rob Bailey
4371166,Jeffrey G. Hunt
4371170,Jeffrey G. Hunt
4371256,Oz Scott
4384708,Alik Sakharov
4389744,Steven Levitan
4417020,Adam Davidson
4426876,Susanne Bier
4427980,Sam Raimi
4443976,Rashaad Ernesto Green
4452400,Jennifer Lynch
4454364,Helen Shaver
4458814,Stephen Williams
4460256,Stephen Sandoval
4460310,Stephen Surjik
4460312,Alrick Riley
4460418,Kevin Macdonald
4462494,Pete Michels
4462494,Wesley Archer
4462674,Terry McDonough
4462676,Scott Winant
4462678,Adam Bernstein
4462680,Michael Slovis
4462682,John Shiban
4462684,Colin Bucksey
4462686,Larysa Kondracki
4462688,Peter Gould
4462690,Vince Gilligan
4462712,Metin Hüseyin
4463994,Matt Shakman
4464006,Jamie Babbit
4464958,Hettie Macdonald
4466474,M.J. Bassett
4480742,Bradley Buecker
4480746,Bradley Buecker
4480760,Loni Peristere
4480766,Michael Goi
4480768,Loni Peristere
4480776,Michael Goi
4480780,Loni Peristere
4480800,Bradley Buecker
4480806,Michael Goi
4483506,Daniel O'Hara
4483520,Daniel O'Hara
4489472,P.J. Pesce
4489482,Robert Singer
4489484,Thomas J. Wright
4489486,Philip Sgriccia
4491464,Jesse Warn
4498368,Tucker Gates
4503862,Anton Cropper
4507160,Edward Bazalgette
4510954,Mimi Leder
4518590,David Semel
4524996,Matthew Gray Gubler
4525842,Glen Winter
4532988,Chris Fisher
4538072,Owen Harris
4540234,Frederick E.O. Toye
4541830,Steven Zaillian
4541832,Steven Zaillian
4545140,Edward Bazalgette
4547200,Mimi Leder
4549106,Stefan Schwartz
4549108,Adam Davidson
4549938,Chris Carter
4549940,Glen Morgan
4549942,Darin Morgan
4549946,Chris Carter
4549948,James Wong
4549954,Chris Carter
4550136,Carl Franklin
4550146,Tom Shankland
4550148,Nicole Kassell
4550416,Glen Winter
4550864,Craig Zobel
4550866,Mimi Leder
4550868,Craig Zobel
4550870,Keith Gordon
4554702,Ciaran Donnelly
4559272,Adam Davidson
4559274,Adam Davidson
4559276,Kari Skogland
4559278,Kari Skogland
4559950,Dermott Downs
4562758,Richard J. Lewis
4566516,Glen Winter
4569062,Shingo Natsume
4575388,Greg Nicotero
4575924,I. Marlene King
4589566,Michael E. Satrazemis
4589574,Greg Nicotero
4593118,Matt Duffer
4593118,Ross Duffer
4593122,Matt Duffer
4593122,Ross Duffer
4593124,Shawn Levy
4593126,Shawn Levy
4593128,Matt Duffer
4593128,Ross Duffer
4593132,Matt Duffer
4593132,Ross Duffer
4593134,Matt Duffer
4593134,Ross Duffer
4593138,Matt Duffer
4593138,Ross Duffer
4599534,Rob Hardy
4601794,McG
4603116,Dermott Downs
4625048,Phil Abraham
4625856,Neil Marshall
4625862,Vincenzo Natali
4625866,Jonny Campbell
4626230,Lesli Linka Glatter
4630544,Frederick E.O. Toye
4630546,Frederick E.O. Toye
4632962,M.J. Bassett
4652838,Niels Arden Oplev
4652840,Daniel Nettheim
4652846,Daniel Nettheim
4652854,Sam Esmail
4659980,Nisha Ganatra
4667540,Vincent Misiano
4677294,Chris Fisher
4679172,Chris Fisher
4679178,Stephen Surjik
4679184,Maja Vrvilo
4679188,Alrick Riley
4679194,Kate Woods
4679198,Chris Fisher
4679200,Margot Lulick
4679202,Kenneth Fink
4679206,Frederick E.O. Toye
4679208,Tim Matheson
4679212,Greg Plageman
4679214,Chris Fisher
4686038,Sam Esmail
4696468,David Frazee
4696934,John F. Showalter
4697804,Marc Munden
4700596,Kristoffer Nyholm
4700598,Anders Engström
4700604,Kristoffer Nyholm
4700678,Kristoffer Nyholm
4700680,Anders Engström
4700682,Anders Engström
4700686,Anders Engström
4701538,Justin Molotnikov
4701542,Rachel Talalay
4701544,Rachel Talalay
4701546,Douglas Mackinnon
4701640,Kristoffer Nyholm
4706126,David Lynch
4706130,David Lynch
4706132,David Lynch
4706138,David Lynch
4706140,David Lynch
4706146,David Lynch
4706148,David Lynch
4706152,David Lynch
4706164,David Lynch
4706470,Kevin Tancharoen
4719614,Michael Slovis
4719620,Stephen Williams
4719650,Avi Youabian
4719674,Jeffrey F. January
4730002,Jim McKay
4730012,Jim McKay
4730014,Deborah Chow
4730018,Sam Esmail
4730026,Christoph Schrewe
4731490,Mairzee Almas
4731492,Ed Fraiman
4731494,Antonio Negret
4731496,Tim Scanlan
4731498,Dean White
4731502,Dean White
4741672,Mick Garris
4742110,Jesse Bochco
4743844,Glen Winter
4765782,John Behring
4766572,Jean-Marc Vallée
4769592,Garry A. Brown
4776068,Kari Skogland
4776070,Michael E. Satrazemis
4776072,Greg Nicotero
4776078,Billy Gierhart
4776082,Alrick Riley
4776088,Michael E. Satrazemis
4778366,Kate Woods
4786258,Vincent Misiano
4787004,Justin Molotnikov
4793694,Ciaran Donnelly
4793696,Ciaran Donnelly
4799588,Tricia Brock
4799894,John F. Showalter
4799896,Uta Briesewitz
4799898,Matt Barber
4799900,P.J. Pesce
4799902,Ed Fraiman
4799908,Dean White
4806004,Stefan Pleszczynski
4807334,Andy Wolk
4809604,Michael Zinberg
4815634,Roger Kumble
4817386,Jean-Marc Vallée
4817432,Phil Abraham
4817660,Tucker Gates
4817664,Robin Wright
4817670,Robin Wright
4818206,Steve Shill
4832254,Dominic Polcino
4832254,Pete Michels
4832260,Bryan Newton
4832260,Pete Michels
4832262,Juan Jose Meza-Leon
4832262,Pete Michels
4832266,Pete Michels
4832266,Wesley Archer
4832268,Dominic Polcino
4832268,Pete Michels
4832272,Bryan Newton
4832272,Pete Michels
4832274,Juan Jose Meza-Leon
4832274,Pete Michels
4832276,Dominic Polcino
4832276,Pete Michels
4832278,Pete Michels
4832278,Wesley Archer
4832610,Dermott Downs
4835748,Amy Winfrey
4838236,Antonio Negret
4838244,J.J. Makaro
4843812,Mark Pellington
4845364,Dermott Downs
4846212,Wendey Stanzler
4847040,Tucker Gates
4847046,Seith Mann
4848704,Dermott Downs
4849368,Toa Fraser
4854000,Lexi Alexander
4857182,Ralph Hemecker
4857194,Steve Shill
4857906,Philip Sgriccia
4859064,John Badham
4859296,James Bamford
4859298,Antonio Negret
4859300,Thor Freudenthal
4859302,John Behring
4859306,Kevin Tancharoen
4859308,Rob Hardy
4862532,Jesse Warn
4862534,Charlotte Brändström
4862536,Gordon Verheul
4862538,Kevin Fair
4862540,Gregory Smith
4862542,James Bamford
4862544,John F. Showalter
4862546,Michael Schultz
4862548,Gregory Smith
4862550,Laura Belsey
4862552,Rob Hardy
4862554,John Behring
4862556,Kevin Tancharoen
4862558,Glen Winter
4888846,J. Miles Dale
4897130,Adam Davidson
4899778,Michael A. Allowitz
4899794,Kevin Tancharoen
4901088,Sam Esmail
4928274,Tawnia McKiernan
4928276,Kelly Makin
4928280,Oz Scott
4932378,Len Wiseman
4935616,Marc Jobst
4938410,Anton Cropper
4940096,Jeremiah S. Chechik
4940098,J. Miller Tobin
4944380,Thor Freudenthal
4947664,Peter Hoar
4949018,Tom Shankland
4949028,Tom Shankland
4950308,Floria Sigismondi
4950310,Ken Girotti
4950312,Andy Goddard
4950314,Stephen Surjik
4950318,Peter Hoar
4950320,Euros Lyn
4950322,Stephen Surjik
4950324,Peter Hoar
4950326,Michael Uppendahl
4952842,Matt Earl Beesley
4952846,Tim Matheson
4952848,Nathan Hope
4952850,Eriq La Salle
4952852,Louis Shaw Milito
4952854,Eagle Egilsson
4952856,David Frazee
4952858,David Paymer
4952862,Tara Nicole Weyr
4952864,Greg Beeman
4952866,Mairzee Almas
4952868,Nathan Hope
4955274,Jamie Babbit
4955278,Karen Gaviola
4955280,Kevin Tancharoen
4955282,Jesse Warn
4955284,Larry Teng
4955286,Steve Shill
4955288,Glen Winter
4959736,Jean-Marc Vallée
4959740,Jean-Marc Vallée
4959742,Jean-Marc Vallée
4959800,Andrew Bernstein
4995876,Thomas J. Wright
5003004,Helen Shaver
5003016,Helen Shaver
5003022,Ken Girotti
5003028,Ken Girotti
5003030,Ken Girotti
5003032,Jeff Woolnough
5003034,Jeff Woolnough
5011946,Gerardo Naranjo
5017734,David Slade
5017740,Floria Sigismondi
5017986,Rachel Talalay
5025272,Tom Shankland
5028206,Millicent Shelton
5031232,Lana Wachowski
5033248,J.J. Makaro
5046444,Hanelle M. Culpepper
5051372,Glen Winter
5056832,Richard Speight Jr.
5056836,Robert Singer
5058402,Alice Troughton
5058700,Colm McCarthy
5062946,David Slade
5068324,Stefan Pleszczynski
5073498,Ed Fraiman
5075474,John F. Showalter
5075866,Bill D'Elia
5083704,Robin Wright
5087242,Thomas J. Wright
5089420,Armen V. Kevorkian
5095274,Stephen Daldry
5095720,Alex Graves
5095730,Robin Wright
5095732,Kari Skogland
5095742,Jakob Verbruggen
5095748,Jakob Verbruggen
5109276,Shin'ichirô Ushijima
5109276,Shingo Natsume
5109278,Shingo Natsume
5109278,Yosuke Hatta
5121868,Mairzee Almas
5123360,Heather Cappiello
5134170,J. Miles Dale
5134180,James Marshall
5134182,J. Miles Dale
5143508,Mark Cendrowski
5143516,Mark Cendrowski
