epizoda,reziser
0606104,Pamela Fryman
0606105,Pamela Fryman
0606106,Pamela Fryman
0606107,Pamela Fryman
0606108,Pamela Fryman
0606109,Pamela Fryman
0606110,Pamela Fryman
0606111,Pamela Fryman
0606112,Pamela Fryman
0606113,Pamela Fryman
0606114,Pamela Fryman
0606115,Pamela Fryman
0606116,Pamela Fryman
0606117,Pamela Fryman
0606118,Pamela Fryman
0606119,Pamela Fryman
0612820,John Fortenberry
0612823,John Fortenberry
0612824,Daniel Attias
0636268,Tucker Gates
0636269,Stephen Williams
0636270,Adam Davidson
0636271,Jack Bender
0636271,Stephen Williams
0636272,Stephen Williams
0636273,Tucker Gates
0636274,Stephen Williams
0636275,Tucker Gates
0636276,Robert Mandel
0636277,Stephen Williams
0636278,Alan Taylor
0636279,Jack Bender
0636280,Jack Bender
0636281,Jack Bender
0636282,Rod Holcomb
0636283,Kevin Hooks
0636284,Michael Zinberg
0636285,Jack Bender
0636286,Daniel Attias
0636287,Jack Bender
0636288,Jack Bender
0636289,J.J. Abrams
0636290,J.J. Abrams
0636291,Marita Grabiak
0636292,Greg Yaitanes
0636293,Greg Yaitanes
0636294,Jack Bender
0636295,Matt Earl Beesley
0636296,David Grossman
0636297,Stephen Williams
0636298,Jack Bender
0636299,Eric Laneuville
0636300,Jack Bender
0636301,Paul A. Edwards
0636302,Jack Bender
0636303,Kevin Hooks
0643101,Mick Garris
0643102,Tobe Hooper
0643103,John Landis
0643104,Stuart Gordon
0643105,Joe Dante
0643106,John McNaughton
0643107,Don Coscarelli
0643108,Dario Argento
0643109,John Carpenter
0643110,Larry Cohen
0643111,Lucky McKee
0643112,William Malone
0664510,Greg Daniels
0664511,Ken Kwapis
0664513,Charles McDougall
0664514,Ken Kwapis
0664515,Paul Feig
0664516,Paul Feig
0664517,Ken Whittingham
0664518,Amy Heckerling
0664519,Paul Feig
0664520,Paul Feig
0664521,Ken Kwapis
0664522,Ken Kwapis
0664523,Bryan Gordon
0664524,Greg Daniels
0664525,Greg Daniels
0664526,Ken Kwapis
0664527,Ken Kwapis
0664528,Bryan Gordon
0678475,Michael W. Watkins
0678476,Jesús Salvador Treviño
0678477,Brad Turner
0678478,Matt Earl Beesley
0678479,Sanford Bookstaver
0678480,Randy Zisk
0678481,Bobby Roth
0678482,Vern Gillum
0678483,Brett Ratner
0678484,Robert Mandel
0678485,Dwight H. Little
0678486,Jace Alexander
0678487,Matt Earl Beesley
0696628,Chris Koch
0697655,Andy Ackerman
0697662,Tom Cherones
0697675,Tom Cherones
0697679,Tom Cherones
0697707,Tom Cherones
0697722,Tom Cherones
0697729,Tom Cherones
0697744,Tom Cherones
0697745,Tom Cherones
0697747,Tom Cherones
0697782,Andy Ackerman
0697784,Tom Cherones
0701059,David Silverman
0701060,Rich Moore
0701080,Rich Moore
0701087,Carlos Baeza
0701098,Alan Smart
0701098,Rich Moore
0701109,Jeffrey Lynch
0701114,Jim Reardon
0701115,Jim Reardon
0701122,Jim Reardon
0701123,Rich Moore
0701124,Wesley Archer
0701126,Mike B. Anderson
0701144,Jim Reardon
0701147,Brad Bird
0701151,Mark Kirkland
0701152,David Silverman
0701164,Rich Moore
0701173,Rich Moore
0701178,Wesley Archer
0701184,Jim Reardon
0701195,Wesley Archer
0701202,Wesley Archer
0701211,Rich Moore
0701215,David Silverman
0701215,Kent Butterworth
0701217,Rich Moore
0701228,Wesley Archer
0701230,Jim Reardon
0701232,Milton Gray
0701232,Wesley Archer
0701263,Steven Dean Moore
0701278,David Silverman
0701278,Rich Moore
0701278,Wesley Archer
0701279,David Silverman
0701281,Jim Reardon
0701294,Jeffrey Lynch
0701295,Wesley Archer
0701298,Mike B. Anderson
0701989,Alan Ball
0705223,Daniel Attias
0705224,Matthew Penn
0705225,John Patterson
0705227,Timothy Van Patten
0705229,John Patterson
